Omitted_ID,Beta,SE,CI_low,CI_high,t,df,p,Delta_beta,Deletion_DFBETA,Absolute_DFBETA,Percent_change,CI_excludes_zero,Above_DFBETA_threshold
116,-0.4105405261638892,0.15786046485600122,-0.7220011042531631,-0.09907994807461523,-2.600654486469302,183,0.010065025737366952,-0.0005812824265414851,0.0036810820212620212,0.0036810820212620212,-0.14179029633343274,True,False
117,-0.4170598360790545,0.15747856211457767,-0.727766915509078,-0.10635275664903104,-2.6483594368585335,183,0.008794860740181808,-0.007100592341706791,0.04496585758644511,0.04496585758644511,-1.7320239634006134,True,False
119,-0.40791617368983263,0.15799406050671042,-0.7196403375897658,-0.09619200978989956,-2.581844990764747,183,0.01060952168063752,0.002043070047515083,-0.012938131408570936,0.012938131408570936,0.49835930735203404,True,False
120,-0.4077058048403369,0.15878380922219132,-0.7209881523658745,-0.09442345731479929,-2.567678699972621,183,0.011036888835538548,0.0022534388970107955,-0.01427033233939845,0.01427033233939845,0.5496738837908791,True,False
121,-0.40696327240209484,0.15801518599940753,-0.7187291171508323,-0.09519742765335731,-2.575469375479017,183,0.01079998975560533,0.002995971335252867,-0.01897256086689664,0.01897256086689664,0.7307973612060625,True,False
122,-0.4103406369519763,0.1579584837024392,-0.72199460739318,-0.09868666651077268,-2.5977752339340783,183,0.010146713560666982,-0.0003813932146286003,0.0024152453975838047,0.0024152453975838047,-0.09303198316780752,True,False
123,-0.40996022233560414,0.15791472039229804,-0.7215278472444536,-0.09839259742675466,-2.5960861743424846,183,0.010194910690965432,-9.785982564292084e-07,6.197160422022204e-06,6.197160422022204e-06,-0.00023870623028472942,True,False
124,-0.4110570243532168,0.15881183097747384,-0.7243946591358097,-0.09771938957062382,-2.5883274679423716,183,0.010418954654963761,-0.0010977806158690706,0.006951905483206939,0.006951905483206939,-0.26777798833398075,True,False
125,-0.4091150645610203,0.1578842185859689,-0.7206225090425493,-0.09760762007949131,-2.591234692264412,183,0.010334491991723333,0.0008441791763273976,-0.005345925916239253,0.005345925916239253,0.20591782944849157,True,False
126,-0.4100210170151487,0.1579107007377419,-0.7215807110976642,-0.09846132293263321,-2.5965372523810886,183,0.010182019158690221,-6.177327780099162e-05,0.00039119108358495335,0.00039119108358495335,-0.015068150979556511,True,False
127,-0.41642034330687866,0.15731968975434224,-0.7268139656771724,-0.106026720936585,-2.6469690091375537,183,0.008829737412787596,-0.006461099569530948,0.040916147430248774,0.040916147430248774,-1.5760346103259082,True,False
128,-0.4250583814277973,0.15802415053276392,-0.7368419133076606,-0.11327484954793399,-2.6898317756795525,183,0.007810007325512518,-0.015099137690449571,0.09561817414569121,0.09561817414569121,-3.6830826286047285,True,False
129,-0.4055795430180654,0.15816719769999296,-0.7176453086632977,-0.09351377737283323,-2.5642456142351158,183,0.011142751774552135,0.004379700719282287,-0.027735291555571855,0.027735291555571855,1.0683258851185387,True,False
130,-0.40665683467603503,0.1576285472569349,-0.7176598365790221,-0.0956538327730479,-2.579842558678051,183,0.010669016285850963,0.0033024090613126833,-0.020913136312720307,0.020913136312720307,0.8055457003985663,True,False
131,-0.4425006816306506,0.1562509445558976,-0.7507856569901722,-0.134215706271129,-2.831987242626551,183,0.005144191802589437,-0.03254143789330288,0.2060748725671356,0.2060748725671356,-7.937725125220374,True,True
132,-0.408532486592842,0.15789813042391854,-0.7200673792964071,-0.09699759388927698,-2.5873168067033503,183,0.01044846181113002,0.001426757144505686,-0.009035212202432192,0.009035212202432192,0.3480241429608499,True,False
133,-0.4159943267248168,0.15913834904600174,-0.7299761855471214,-0.10201246790251212,-2.614041990623934,183,0.009692909542611287,-0.006035082987469076,0.038218316033008806,0.038218316033008806,-1.4721177969914558,True,False
134,-0.4108350512081402,0.15861284603178724,-0.7237800863219614,-0.09789001609431891,-2.590175143353809,183,0.010365203316129655,-0.0008758074707924668,0.005546218133589193,0.005546218133589193,-0.2136328145227964,True,False
135,-0.41100806513233873,0.15913121990090834,-0.7249758580664294,-0.09704027219824807,-2.5828248246213104,183,0.010580518204351772,-0.0010488213949910175,0.006641861863238092,0.006641861863238092,-0.2558355278026065,True,False
136,-0.4103349304184779,0.15798389655923975,-0.7220390407289465,-0.09863082010800922,-2.597321241944512,183,0.010159648031705507,-0.000375686681130194,0.002379107683960333,0.002379107683960333,-0.0916400073590946,True,False
